season,round,driver,grid_position,best_quali_time,gap_to_pole,made_q3,made_q2
2022,7,VET,9.0,72.732,1.3559999999999943,1,1
2022,7,OCO,10.0,73.047,1.6709999999999925,1,1
2022,7,TSU,11.0,72.797,1.4209999999999925,0,1
2022,7,BOT,12.0,72.909,1.5330000000000013,0,1
2022,7,MAG,13.0,72.921,1.5450000000000017,0,1
2022,7,RIC,14.0,72.964,1.587999999999994,0,1
2022,7,MSC,15.0,73.081,1.7049999999999983,0,1
2022,7,ALB,16.0,73.611,2.2349999999999994,0,0
2022,7,GAS,17.0,73.66,2.283999999999992,0,0
2022,7,STR,18.0,73.678,2.3019999999999925,0,0
2022,7,LAT,19.0,74.403,3.027000000000001,0,0
2022,7,ZHO,20.0,75.606,4.22999999999999,0,0
2022,8,LEC,1.0,101.359,0.0,1,1
2022,8,PER,2.0,101.641,0.2820000000000107,1,1
2022,8,VER,3.0,101.706,0.3470000000000084,1,1
2022,8,SAI,4.0,101.814,0.4549999999999983,1,1
2022,8,RUS,5.0,102.712,1.3530000000000086,1,1
2022,8,GAS,6.0,102.845,1.4860000000000042,1,1
2022,8,HAM,7.0,102.924,1.565000000000012,1,1
2022,8,TSU,8.0,103.056,1.6970000000000027,1,1
2022,8,VET,9.0,103.091,1.731999999999999,1,1
2022,8,ALO,10.0,103.173,1.8140000000000072,1,1
2022,8,NOR,11.0,103.398,2.039000000000001,0,1
2022,8,RIC,12.0,103.574,2.2150000000000034,0,1
2022,8,OCO,13.0,103.585,2.225999999999999,0,1
2022,8,ZHO,14.0,103.79,2.431000000000012,0,1
2022,8,BOT,15.0,104.444,3.085000000000008,0,1
2022,8,MAG,16.0,104.643,3.284000000000006,0,0
2022,8,ALB,17.0,104.719,3.3599999999999994,0,0
2022,8,LAT,18.0,105.367,4.00800000000001,0,0
2022,8,STR,19.0,105.371,4.0120000000000005,0,0
2022,8,MSC,20.0,105.775,4.416000000000011,0,0
2022,9,VER,1.0,81.299,0.0,1,1
2022,9,ALO,2.0,81.944,0.644999999999996,1,1
2022,9,SAI,3.0,82.096,0.796999999999997,1,1
2022,9,HAM,4.0,82.891,1.5919999999999987,1,1
2022,9,MAG,5.0,82.96,1.6609999999999872,1,1
2022,9,MSC,6.0,83.356,2.056999999999988,1,1
2022,9,OCO,7.0,83.529,2.2299999999999898,1,1
2022,9,RUS,8.0,83.557,2.257999999999996,1,1
2022,9,RIC,9.0,83.749,2.4499999999999886,1,1
2022,9,ZHO,10.0,84.03,2.7309999999999945,1,1
2022,9,BOT,11.0,86.788,5.48899999999999,0,1
2022,9,ALB,12.0,86.858,5.5589999999999975,0,1
2022,9,PER,13.0,93.127,11.827999999999989,0,1
2022,9,NOR,14.0,94.066,12.766999999999996,0,0
2022,9,LEC,15.0,93.008,11.708999999999987,0,0
2022,9,GAS,16.0,94.492,13.192999999999998,0,0
2022,9,VET,17.0,94.512,13.212999999999994,0,0
2022,9,STR,18.0,95.532,14.23299999999999,0,0
2022,9,LAT,19.0,95.66,14.36099999999999,0,0
2022,9,TSU,20.0,96.575,15.275999999999996,0,0
2022,10,SAI,1.0,100.983,0.0,1,1
2022,10,VER,2.0,101.055,0.0720000000000027,1,1
2022,10,LEC,3.0,101.298,0.3149999999999977,1,1
2022,10,PER,4.0,101.616,0.6329999999999956,1,1
2022,10,HAM,5.0,101.995,1.0120000000000005,1,1
2022,10,NOR,6.0,102.084,1.100999999999999,1,1
2022,10,ALO,7.0,102.116,1.1329999999999956,1,1
2022,10,RUS,8.0,102.161,1.1779999999999973,1,1
2022,10,ZHO,9.0,102.719,1.73599999999999,1,1
2022,10,LAT,10.0,123.095,22.111999999999995,1,1
2022,10,GAS,11.0,103.702,2.718999999999994,0,1
2022,10,BOT,12.0,104.232,3.2489999999999952,0,1
2022,10,TSU,13.0,104.311,3.328000000000003,0,1
2022,10,RIC,14.0,104.355,3.372,0,1
2022,10,OCO,15.0,105.19,4.206999999999994,0,1
2022,10,ALB,16.0,102.078,1.0949999999999989,0,0
2022,10,MAG,17.0,102.159,1.176000000000002,0,0
2022,10,VET,18.0,102.666,1.6829999999999927,0,0
2022,10,MSC,19.0,102.708,1.7249999999999943,0,0
2022,10,STR,20.0,103.43,2.4470000000000027,0,0
2022,11,VER,1.0,64.984,0.0,1,1
2022,11,LEC,2.0,65.013,0.0290000000000105,1,1
2022,11,SAI,3.0,65.066,0.0820000000000078,1,1
2022,11,RUS,4.0,65.431,0.4470000000000027,1,1
2022,11,OCO,5.0,65.726,0.7420000000000044,1,1
2022,11,MAG,6.0,65.879,0.8950000000000102,1,1
2022,11,MSC,7.0,66.011,1.027000000000001,1,1
2022,11,ALO,8.0,66.103,1.1189999999999998,1,1
2022,11,HAM,9.0,73.151,8.167000000000002,1,1
2022,11,GAS,10.0,66.16,1.176000000000002,0,1
2022,11,ALB,11.0,66.23,1.246000000000009,0,1
2022,11,BOT,12.0,66.319,1.335000000000008,0,1
2022,11,PER,13.0,66.458,1.4740000000000038,0,1
2022,11,TSU,14.0,66.851,1.8670000000000044,0,1
2022,11,NOR,15.0,85.847,20.863,0,1
2022,11,RIC,16.0,66.613,1.6290000000000049,0,0
2022,11,STR,17.0,66.847,1.8629999999999995,0,0
2022,11,ZHO,18.0,66.901,1.9170000000000016,0,0
2022,11,LAT,19.0,67.003,2.019000000000005,0,0
2022,11,VET,20.0,67.083,2.099000000000004,0,0
2022,12,LEC,1.0,90.872,0.0,1,1
2022,12,VER,2.0,91.176,0.304000000000002,1,1
2022,12,PER,3.0,91.335,0.4629999999999938,1,1
2022,12,HAM,4.0,91.765,0.8930000000000007,1,1
2022,12,NOR,5.0,92.032,1.1599999999999966,1,1
2022,12,RUS,6.0,92.131,1.2590000000000003,1,1
2022,12,ALO,7.0,92.552,1.6800000000000068,1,1
2022,12,TSU,8.0,92.78,1.9080000000000013,1,1
2022,12,SAI,9.0,91.081,0.2090000000000031,0,1
2022,12,MAG,10.0,92.649,1.777000000000001,0,1
2022,12,RIC,11.0,92.922,2.049999999999997,0,1
2022,12,OCO,12.0,93.048,2.176000000000002,0,1
2022,12,BOT,13.0,93.052,2.180000000000007,0,1
2022,12,VET,14.0,93.276,2.4039999999999964,0,1
2022,12,ALB,15.0,93.307,2.4350000000000023,0,1
2022,12,GAS,16.0,93.439,2.566999999999993,0,0
2022,12,STR,17.0,93.439,2.566999999999993,0,0
2022,12,ZHO,18.0,93.674,2.8020000000000067,0,0
2022,12,MSC,19.0,93.701,2.828999999999993,0,0
2022,12,LAT,20.0,93.794,2.921999999999997,0,0
2022,13,RUS,1.0,77.377,0.0,1,1
2022,13,SAI,2.0,77.421,0.0440000000000111,1,1
2022,13,LEC,3.0,77.567,0.1899999999999977,1,1
2022,13,NOR,4.0,77.769,0.3920000000000101,1,1
2022,13,OCO,5.0,78.018,0.6410000000000053,1,1
2022,13,ALO,6.0,78.078,0.7010000000000076,1,1
2022,13,HAM,7.0,78.142,0.7650000000000006,1,1
2022,13,BOT,8.0,78.157,0.7800000000000011,1,1
2022,13,RIC,9.0,78.379,1.0020000000000095,1,1
2022,13,VER,10.0,78.823,1.445999999999998,1,1
2022,13,PER,11.0,78.516,1.13900000000001,0,1
2022,13,ZHO,12.0,78.573,1.195999999999998,0,1
2022,13,MAG,13.0,78.825,1.4480000000000075,0,1
2022,13,STR,14.0,79.137,1.7600000000000051,0,1
2022,13,MSC,15.0,79.202,1.8250000000000028,0,1
2022,13,TSU,16.0,79.24,1.8629999999999995,0,0
2022,13,ALB,17.0,79.256,1.8790000000000049,0,0
2022,13,VET,18.0,79.273,1.8960000000000008,0,0
2022,13,GAS,19.0,79.527,2.1500000000000057,0,0
2022,13,LAT,20.0,79.57,2.192999999999998,0,0
2022,14,VER,1.0,103.665,0.0,1,1
2022,14,SAI,2.0,104.297,0.6319999999999908,1,1
2022,14,PER,3.0,104.462,0.796999999999997,1,1
2022,14,LEC,4.0,104.553,0.887999999999991,1,1
2022,14,OCO,5.0,105.18,1.5150000000000006,1,1
2022,14,ALO,6.0,105.368,1.7029999999999887,1,1
2022,14,HAM,7.0,105.503,1.8379999999999936,1,1
2022,14,RUS,8.0,105.776,2.11099999999999,1,1
2022,14,ALB,9.0,105.837,2.171999999999997,1,1
2022,14,NOR,10.0,106.178,2.512999999999991,1,1
2022,14,RIC,11.0,105.767,2.1019999999999897,0,1
2022,14,GAS,12.0,105.827,2.161999999999992,0,1
2022,14,ZHO,13.0,106.085,2.4199999999999875,0,1
2022,14,STR,14.0,106.611,2.945999999999998,0,1
2022,14,MSC,15.0,107.718,4.052999999999997,0,1
2022,14,VET,16.0,106.344,2.678999999999988,0,0
2022,14,LAT,17.0,106.401,2.73599999999999,0,0
2022,14,MAG,18.0,106.557,2.891999999999996,0,0
2022,14,TSU,19.0,106.692,3.026999999999987,0,0
2022,14,BOT,20.0,107.866,4.200999999999993,0,0
2022,15,VER,1.0,70.342,0.0,1,1
2022,15,LEC,2.0,70.363,0.0210000000000007,1,1
2022,15,SAI,3.0,70.434,0.0919999999999987,1,1
2022,15,HAM,4.0,70.648,0.3059999999999974,1,1
2022,15,PER,5.0,71.077,0.7349999999999994,1,1
2022,15,RUS,6.0,71.147,0.8050000000000068,1,1
2022,15,NOR,7.0,71.174,0.8320000000000078,1,1
2022,15,MSC,8.0,71.442,1.0999999999999943,1,1
2022,15,TSU,9.0,72.556,2.213999999999998,1,1
2022,15,STR,10.0,71.416,1.073999999999998,0,1
2022,15,GAS,11.0,71.512,1.1700000000000017,0,1
2022,15,OCO,12.0,71.605,1.2630000000000052,0,1
2022,15,ALO,13.0,71.613,1.2710000000000008,0,1
2022,15,ZHO,14.0,71.704,1.3619999999999948,0,1
2022,15,ALB,15.0,71.802,1.460000000000008,0,1
2022,15,BOT,16.0,71.961,1.6189999999999998,0,0
2022,15,RIC,17.0,72.081,1.7390000000000043,0,0
2022,15,MAG,18.0,72.319,1.977000000000004,0,0
2022,15,VET,19.0,72.391,2.0490000000000066,0,0
2022,15,LAT,20.0,73.353,3.010999999999996,0,0
