season,round,circuit,driver,team,grid,gap_to_pole,best_quali_time,rolling_podium_rate,rolling_points,team_rolling_points,circuit_podium_rate,avg_temp,avg_humidity,avg_wind,rainfall,podium
2022,4,Emilia Romagna Grand Prix,PER,Red Bull Racing,3,1.809000000000012,89.808,0.3333333333333333,10.0,16.2,0.0,12.9,83.17,1.48,0,1
2022,4,Emilia Romagna Grand Prix,NOR,McLaren,5,1.132000000000005,89.131,0.0,5.333333333333333,4.8,0.0,12.9,83.17,1.48,0,1
2022,4,Emilia Romagna Grand Prix,RUS,Mercedes,11,5.0,80.757,0.3333333333333333,12.333333333333334,10.0,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,BOT,Alfa Romeo,7,2.4399999999999977,90.439,0.0,4.0,1.0,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,LEC,Ferrari,2,0.7790000000000106,88.778,1.0,23.666666666666668,15.6,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,TSU,AlphaTauri,12,5.0,80.474,0.0,2.0,2.0,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,VET,Aston Martin,13,3.0630000000000024,91.062,0.0,0.0,0.0,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,MAG,Haas F1 Team,8,1.1650000000000065,89.164,0.0,4.0,2.4,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,STR,Aston Martin,15,0.1200000000000045,88.119,0.0,0.0,0.8,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,GAS,AlphaTauri,17,5.0,80.732,0.0,2.0,2.4,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,HAM,Mercedes,14,5.0,81.138,0.3333333333333333,9.333333333333334,10.0,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,OCO,Alpine,16,5.0,82.338,0.0,6.666666666666667,3.2,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,ZHO,Alfa Romeo,0,5.0,81.434,0.0,0.3333333333333333,2.8,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,LAT,Williams,19,5.0,81.971,0.0,0.0,0.2,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,MSC,Haas F1 Team,10,5.0,80.916,0.0,0.0,0.8,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,RIC,McLaren,6,1.7430000000000092,89.742,0.0,2.6666666666666665,7.8,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,ALO,Alpine,9,1.203000000000003,89.202,0.0,0.6666666666666666,2.8,0.0,12.9,83.17,1.48,0,0
2022,4,Emilia Romagna Grand Prix,SAI,Ferrari,4,5.0,78.99,0.6666666666666666,11.0,13.6,0.0,12.9,83.17,1.48,0,0
2022,5,Miami Grand Prix,VER,Red Bull Racing,3,0.1949999999999931,88.991,0.5,12.75,14.8,0.0,30.62,58.86,2.27,1,1
2022,5,Miami Grand Prix,LEC,Ferrari,1,0.0,88.796,0.75,19.75,9.8,0.0,30.62,58.86,2.27,1,1
2022,5,Miami Grand Prix,SAI,Ferrari,2,0.1899999999999977,88.986,0.5,8.25,10.4,0.0,30.62,58.86,2.27,1,1
2022,5,Miami Grand Prix,PER,Red Bull Racing,4,0.2399999999999948,89.036,0.5,12.0,17.6,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,RUS,Mercedes,12,1.3769999999999951,90.173,0.25,12.25,8.0,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,HAM,Mercedes,6,0.8289999999999935,89.625,0.25,7.0,9.8,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,BOT,Alfa Romeo,5,0.6789999999999878,89.475,0.0,5.5,2.8,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,ALB,Williams,18,2.469999999999999,91.266,0.0,0.3333333333333333,0.2,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,STR,Aston Martin,0,1.8799999999999957,90.676,0.0,0.3333333333333333,1.0,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,ALO,Alpine,11,1.36399999999999,90.16,0.0,0.5,1.2,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,TSU,AlphaTauri,9,1.1359999999999957,89.932,0.0,3.3333333333333335,2.4,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,RIC,McLaren,14,1.5139999999999958,90.31,0.0,2.0,6.6,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,LAT,Williams,19,2.5289999999999964,91.325,0.0,0.0,0.6,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,MSC,Haas F1 Team,15,1.6269999999999951,90.423,0.0,0.0,0.8,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,MAG,Haas F1 Team,16,2.178999999999988,90.975,0.0,3.5,0.4,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,VET,Aston Martin,0,1.4179999999999922,90.214,0.0,2.0,1.2,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,GAS,AlphaTauri,7,0.8939999999999912,89.69,0.0,1.5,1.6,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,NOR,McLaren,8,0.9539999999999936,89.75,0.25,7.75,6.6,0.0,30.62,58.86,2.27,1,0
2022,5,Miami Grand Prix,ZHO,Alfa Romeo,17,2.223999999999989,91.02,0.0,0.25,4.0,0.0,30.62,58.86,2.27,1,0
2022,6,Spanish Grand Prix,VER,Red Bull Racing,2,0.3229999999999933,79.073,0.6,15.4,16.4,0.0,36.57,7.11,3.49,0,1
2022,6,Spanish Grand Prix,PER,Red Bull Racing,5,0.6700000000000017,79.42,0.4,12.0,21.4,0.0,36.57,7.11,3.49,0,1
2022,6,Spanish Grand Prix,RUS,Mercedes,4,0.6430000000000007,79.393,0.2,11.8,8.4,0.0,36.57,7.11,3.49,0,1
2022,6,Spanish Grand Prix,SAI,Ferrari,3,0.4159999999999968,79.166,0.6,9.6,8.2,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,HAM,Mercedes,6,0.7620000000000005,79.512,0.2,7.2,9.0,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,BOT,Alfa Romeo,7,0.8580000000000041,79.608,0.0,5.6,3.2,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,OCO,Alpine,12,1.8880000000000048,80.638,0.0,5.0,1.2,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,NOR,McLaren,11,1.7210000000000036,80.471,0.2,6.2,4.6,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,ALO,Alpine,20,2.2930000000000064,81.043,0.0,0.4,1.2,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,TSU,AlphaTauri,13,1.888999999999996,80.639,0.0,2.5,1.2,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,VET,Aston Martin,16,2.203999999999993,80.954,0.0,1.3333333333333333,1.2,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,RIC,McLaren,9,1.546999999999997,80.297,0.0,1.6,3.8,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,GAS,AlphaTauri,14,2.111000000000004,80.861,0.0,1.2,1.4,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,MSC,Haas F1 Team,10,1.617999999999995,80.368,0.0,0.0,0.4,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,STR,Aston Martin,17,2.6680000000000064,81.418,0.0,0.5,1.2,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,LAT,Williams,19,3.1650000000000063,81.915,0.0,0.0,0.6,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,MAG,Haas F1 Team,8,0.9320000000000022,79.682,0.0,2.8,0.4,0.0,36.57,7.11,3.49,0,0
2022,6,Spanish Grand Prix,ALB,Williams,18,2.894999999999996,81.645,0.0,0.75,0.4,0.0,36.57,7.11,3.49,0,0
